timestep,mean_reward,std_reward,hit_rate,other_side_rate,net_rate,wall_time
465000,-5.141811778604878,12.738281703996952,0.57,0.0,0.0,1998.5
470000,-6.422755424598907,11.740559366431022,0.58,0.0,0.25,2026.0
475000,-10.736273911117825,11.21832937116716,0.41,0.0,0.2,2051.5
480000,-8.12361359480981,12.62298286763231,0.47,0.0,0.0,2072.9
485000,-6.569559187003612,11.035186192208473,0.63,0.0,0.0,2094.2
490000,-6.986752847945485,10.585646794956963,0.64,0.0,0.0,2115.0
495000,-13.94061471328097,8.493170186279272,0.43,0.0,0.0,2145.5
500000,-9.969320267269133,12.928188724087265,0.38,0.0,0.2,2170.0
505000,-8.365317928815688,10.16005019541766,0.59,0.0,0.22,2197.6
510000,-11.864084573761147,11.532337823465086,0.34,0.0,0.14,2222.4
515000,-9.760965638455971,12.778779647501453,0.4,0.0,0.23,2247.7
520000,-2.6423024762865213,12.547522961584804,0.67,0.0,0.23,2273.1
525000,-7.81563120566776,11.970190612454003,0.53,0.0,0.29,2302.0
530000,-11.101068584326226,12.058777208332398,0.47,0.0,0.0,2331.8
535000,-7.000797912320131,11.712103066474443,0.63,0.0,0.0,2360.7
540000,-3.796647044778654,12.72181594358271,0.63,0.0,0.0,2382.0
545000,-9.483096056259924,12.65077090109519,0.42,0.0,0.0,2403.4
550000,-10.716940315385054,10.396772660079785,0.64,0.0,0.19,2442.8
555000,-5.836960489108197,12.981207145056194,0.55,0.0,0.19,2466.9
560000,-7.110754074448514,11.720771834492082,0.57,0.0,0.26,2497.4
565000,-4.339204100100766,14.051944055502501,0.57,0.0,0.41,2521.8
570000,-6.013064871569105,13.799257705784534,0.52,0.0,0.29,2544.5
575000,-6.736789502862963,10.980015742086907,0.63,0.0,0.25,2580.1
580000,-9.844635105230946,10.608810273437605,0.65,0.0,0.43,2620.0
585000,-3.1225537725066577,13.167225136556477,0.63,0.0,0.42,2645.6
590000,-3.720106964030791,12.533546924635157,0.64,0.0,0.46,2674.0
595000,-5.848281530987651,11.450853448832532,0.63,0.0,0.35,2703.1
600000,-7.772390724937242,12.716838668354173,0.54,0.0,0.31,2732.5
605000,-6.563438656296579,10.997045547319379,0.66,0.0,0.17,2760.1
610000,-7.266794256975902,12.030480838938074,0.55,0.0,0.18,2785.6
615000,-10.775241197773314,12.810413137006849,0.57,0.0,0.18,2816.8
620000,-6.295015035132649,13.718334190524189,0.51,0.0,0.2,2839.6
625000,-4.95783988092345,12.22746243422071,0.61,0.0,0.0,2861.7
630000,-5.694511594897011,11.6918193018478,0.61,0.0,0.26,2886.5
635000,-8.503595843566051,11.69338219329343,0.58,0.0,0.19,2918.2
640000,-5.649327163907733,10.719641054156257,0.69,0.0,0.3,2956.2
645000,-4.61876001016986,12.025288755986699,0.62,0.0,0.22,2982.3
650000,-9.331279603984507,11.291923354230557,0.48,0.0,0.22,3015.2
655000,-2.7454404065651437,13.112362829882825,0.63,0.0,0.45,3041.3
660000,-7.79588761767088,11.68750925371314,0.55,0.0,0.37,3073.5
665000,-5.215686897082619,11.881570261943253,0.6,0.0,0.24,3098.9
670000,-4.08928971428335,12.478709931686168,0.61,0.0,0.0,3120.6
675000,-2.6973316118675017,12.287039981174836,0.66,0.0,0.2,3144.3
680000,-6.066273276382263,13.480264309097922,0.51,0.0,0.22,3167.4
685000,-6.011030141153707,9.870365967972914,0.69,0.0,0.46,3200.6
690000,-4.6723536384726305,13.480141704369133,0.57,0.0,0.3,3224.5
695000,-5.7617589838573755,13.549596610656492,0.53,0.0,0.2,3247.1
700000,-6.038547716521213,13.249443163968424,0.53,0.0,0.37,3271.1
705000,-5.033445747024574,13.166145030036848,0.56,0.0,0.41,3296.0
710000,-5.938500519150884,12.126483338975053,0.57,0.0,0.0,3317.9
715000,-3.706297595953935,12.85251387875449,0.61,0.0,0.38,3343.7
720000,-5.187068863967406,12.943776310730316,0.56,0.0,0.15,3365.5
